127.0.0.1, 2019-04-08 19:33:42, GET, /admin/default/design/helloWorld, HTTP/1.1, 200, 0.909295
127.0.0.1, 2019-04-08 19:34:29, GET, /helloWorld/appadmin, HTTP/1.1, 303, 2.014400
127.0.0.1, 2019-04-08 19:34:33, GET, /admin/default/index, HTTP/1.1, 200, 4.300632
127.0.0.1, 2019-04-08 19:34:33, GET, /admin/static/_2.18.4/css/calendar.css, HTTP/1.1, 200, 0.002531
127.0.0.1, 2019-04-08 19:34:33, GET, /admin/static/_2.18.4/js/calendar.js, HTTP/1.1, 200, 0.009950
127.0.0.1, 2019-04-08 19:34:33, GET, /admin/static/_2.18.4/js/jquery.js, HTTP/1.1, 200, 0.009505
127.0.0.1, 2019-04-08 19:34:33, GET, /admin/static/_2.18.4/js/web2py.js, HTTP/1.1, 200, 0.005076
127.0.0.1, 2019-04-08 19:34:33, GET, /admin/static/_2.18.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.009410
127.0.0.1, 2019-04-08 19:34:33, GET, /admin/static/_2.18.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002352
127.0.0.1, 2019-04-08 19:34:33, GET, /admin/static/_2.18.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.017420
127.0.0.1, 2019-04-08 19:34:33, GET, /admin/static/_2.18.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.023409
127.0.0.1, 2019-04-08 19:34:33, GET, /admin/static/_2.18.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.012936
127.0.0.1, 2019-04-08 19:34:33, GET, /admin/static/_2.18.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.030036
127.0.0.1, 2019-04-08 19:34:33, GET, /admin/static/_2.18.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.008276
127.0.0.1, 2019-04-08 19:34:33, GET, /admin/static/_2.18.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.006532
127.0.0.1, 2019-04-08 19:34:33, GET, /admin/static/_2.18.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.032883
127.0.0.1, 2019-04-08 19:34:33, GET, /admin/static/_2.18.4/images/questions.png, HTTP/1.1, 200, 0.004448
127.0.0.1, 2019-04-08 19:34:34, GET, /favicon.ico, HTTP/1.1, 400, 0.004300
